month,api_client_title,shipping_city,shipping_region,shipping_country,customer_type,product_title,product_type,orders,gross_sales,discounts,returns,net_sales,shipping,taxes,total_sales,total_tips,average_order_value
2021-01,,,,,,,,0,0,0,0,0,0,0,0,0,0
2021-02,Online Store,Jefferson Twp,Pennsylvania,United States,Returning,Traditional Japanese Teriyaki Beef Jerky - 2.25oz/Pack,,0,0,0,-8.99,-8.99,0,-0.54,-9.53,0,0
2021-02,Online Store,Jefferson Twp,Pennsylvania,United States,First-time,Original Beef Jerky - 3oz/Pack,,0,0,0,-7.99,-7.99,0,-0.48,-8.47,0,0
2021-02,Online Store,Jefferson Twp,Pennsylvania,United States,First-time,,,0,0,0,8.47,8.47,0,0,8.47,0,0
2021-02,Online Store,Jefferson Twp,Pennsylvania,United States,Returning,,,0,0,0,9.53,9.53,0,0,9.53,0,0
2021-03,Online Store,Dubuque,Iowa,United States,First-time,Original,,1,8.99,0,0,8.99,0,0,8.99,0,8.99
2021-03,Online Store,Sacramento,California,United States,First-time,Gourmet Keto Mild Original,,1,19.98,0,0,19.98,0,0,19.98,0,19.98
2021-03,Online Store,West Covina,California,United States,First-time,Traditional Japanese Teriyaki,,1,8.99,0,0,8.99,0,0,8.99,0,8.99
2021-03,Online Store,Sacramento,California,United States,First-time,Black Truffle,,1,8.99,-2.24,0,6.75,0,0,6.75,0,6.75
2021-03,Online Store,Methuen,Massachusetts,United States,First-time,Sweet Heat,,1,17.98,0,0,17.98,0,0,17.98,0,17.98
2021-03,Online Store,Sacramento,California,United States,First-time,,,0,0,0,0,0,20.79,0,20.79,0,0
2021-03,Online Store,Methuen,Massachusetts,United States,First-time,Black Truffle,,1,8.99,0,0,8.99,0,0,8.99,0,8.99
2021-03,Online Store,Sacramento,California,United States,First-time,Slap Yo' Grandma Spicy,,1,8.99,0,0,8.99,0,0,8.99,0,8.99
2021-03,Online Store,Franklin Park,Illinois,United States,First-time,,,0,0,0,0,0,7.4,0,7.4,0,0
2021-03,Online Store,Sacramento,California,United States,First-time,Traditional Japanese Teriyaki,,2,62.93,-7.64,0,55.29,0,0,55.29,0,27.645
2021-03,Online Store,Franklin Park,Illinois,United States,First-time,Gourmet Keto Spicy Original,,1,9.99,-2.1,0,7.89,0,0,7.89,0,7.89
2021-03,Online Store,Sacramento,California,United States,First-time,Gourmet Keto Black Truffle,,1,19.98,0,0,19.98,0,0,19.98,0,19.98
2021-03,Online Store,Cromwell,Connecticut,United States,First-time,,,0,0,0,0,0,5.38,0,5.38,0,0
2021-03,Online Store,Sacramento,California,United States,First-time,Gourmet Keto Original,,1,29.97,0,0,29.97,0,0,29.97,0,29.97
2021-03,Online Store,Odessa,Florida,United States,First-time,,,0,0,0,0,0,5.38,0,5.38,0,0
2021-03,Online Store,Sacramento,California,United States,First-time,Gourmet Keto Spicy Original,,1,9.99,0,0,9.99,0,0,9.99,0,9.99
2021-03,Online Store,Stanhope,New Jersey,United States,First-time,,,0,0,0,0,0,4.38,0,4.38,0,0
2021-03,Online Store,Sacramento,California,United States,First-time,All Flavors Variety Pack,,1,93.9,0,0,93.9,0,0,93.9,0,93.9
2021-03,Online Store,Stanhope,New Jersey,United States,First-time,Gourmet Keto Spicy Original,,1,9.99,-2.1,0,7.89,0,0,7.89,0,7.89
2021-03,Online Store,Farmingdale,New York,United States,First-time,Original,,1,8.99,-1.34,0,7.65,0,0,7.65,0,7.65
2021-03,Online Store,Ashton,Maryland,United States,First-time,Gourmet Keto Black Truffle,,1,19.98,0,0,19.98,0,0,19.98,0,19.98
2021-03,Online Store,Farmingdale,New York,United States,First-time,,,0,0,0,0,0,3.85,0,3.85,0,0
2021-03,Online Store,Ashton,Maryland,United States,First-time,,,0,0,0,0,0,4.2,0,4.2,0,0
2021-03,Online Store,Farmingdale,New York,United States,First-time,Traditional Japanese Teriyaki,,1,8.99,-1.35,0,7.64,0,0,7.64,0,7.64
2021-03,Online Store,Ashton,Maryland,United States,Returning,Black Truffle,,1,35.96,0,0,35.96,0,0,35.96,0,35.96
2021-03,Online Store,Peekskill,New York,United States,First-time,,,0,0,0,0,0,0,0,0,0,0
2021-03,Online Store,Palo Alto,California,United States,First-time,,,0,0,0,0,0,7.45,0,7.45,0,0
2021-03,Online Store,Brea,California,United States,First-time,,,0,0,0,0,0,3.85,0,3.85,0,0
2021-03,Online Store,New Hartford,New York,United States,First-time,,,0,0,0,0,0,7.4,0,7.4,0,0
2021-03,Online Store,Gresham,Oregon,United States,First-time,Slap Yo' Grandma Spicy,,1,17.98,-1.8,0,16.18,0,0,16.18,0,16.18
2021-03,Online Store,Kingwood,Texas,United States,First-time,6-Bag Variety Pack,,1,53.94,0,0,53.94,0,0,53.94,0,53.94
2021-03,Online Store,Baxter,Tennessee,United States,First-time,,,0,0,0,0,0,7.4,0,7.4,0,0
2021-03,Online Store,Washington,District Of Columbia,United States,First-time,Gourmet Keto Spicy Original,,1,29.97,-6.29,0,23.68,0,0,23.68,0,23.68
2021-03,Online Store,Arlington Heights,Illinois,United States,First-time,,,0,0,0,0,0,4.2,0,4.2,0,0
2021-03,Online Store,Eaton,Ohio,United States,First-time,Original,,1,8.99,0,0,8.99,0,0,8.99,0,8.99
2021-03,Online Store,Brandon,Florida,United States,First-time,,,0,0,0,0,0,5.89,0,5.89,0,0
2021-03,Online Store,Hamilton,Ohio,United States,First-time,Original,,1,8.99,0,0,8.99,0,0,8.99,0,8.99
2021-03,Online Store,Quincy,Massachusetts,United States,First-time,Sweet Heat,,1,8.99,0,0,8.99,0,0,8.99,0,8.99
2021-03,Online Store,Modesto,California,United States,First-time,Spicy Original,,1,26.97,0,0,26.97,0,0,26.97,0,26.97
2021-03,Online Store,Lakewood,Colorado,United States,First-time,Black Truffle,,1,17.98,-1.8,-16.18,0,0,0,0,0,16.18
2021-03,Online Store,Stanton,California,United States,First-time,Traditional Japanese Teriyaki,,1,8.99,0,0,8.99,0,0,8.99,0,8.99
2021-03,Online Store,Billings,Montana,United States,First-time,Traditional Japanese Teriyaki,,2,17.98,-0.9,0,17.08,0,0,17.08,0,8.54
2021-03,Online Store,Honolulu,Hawaii,United States,First-time,Gourmet Keto Black Truffle,,1,9.99,0,0,9.99,0,0,9.99,0,9.99
2021-03,Online Store,Dublin,California,United States,First-time,,,0,0,0,0,0,0,0,0,0,0
2021-03,Online Store,Moorpark,California,United States,First-time,Sweet Heat,,1,17.98,0,0,17.98,0,0,17.98,0,17.98
2021-03,Online Store,Riverside,California,United States,First-time,,,0,0,0,0,0,5.89,0,5.89,0,0
2021-03,Online Store,Bellingham,Washington,United States,First-time,Sweet Heat,,1,8.99,0,0,8.99,0,0,8.99,0,8.99
2021-03,Online Store,Jefferson,New Jersey,United States,First-time,All Flavors Variety Pack,,1,93.9,-23.47,0,70.43,0,0,70.43,0,70.43
2021-03,Online Store,Colorado Springs,Colorado,United States,First-time,6-Bag Variety Pack,,1,53.94,0,0,53.94,0,0,53.94,0,53.94
2021-03,Online Store,Stockton,Alabama,United States,First-time,Gourmet Keto Black Truffle,,1,9.99,0,0,9.99,0,0,9.99,0,9.99
2021-03,Online Store,St. George,Utah,United States,First-time,Gourmet Keto Variety Pack,,1,79.92,-15.98,0,63.94,0,0,63.94,0,63.94
2021-03,Online Store,Glencoe,Illinois,United States,First-time,Gourmet Keto Mild Original,,1,29.97,-6.29,0,23.68,0,0,23.68,0,23.68
2021-03,Online Store,Lyman,South Carolina,United States,First-time,,,0,0,0,0,0,3.85,0,3.85,0,0
2021-03,Online Store,St.louis,Missouri,United States,First-time,Black Truffle,,1,17.98,0,0,17.98,0,0,17.98,0,17.98
2021-03,Online Store,Sierra Madre,California,United States,First-time,,,0,0,0,0,0,0,0,0,0,0
2021-03,Online Store,Raleigh,North Carolina,United States,First-time,Gourmet Keto Black Truffle,,1,9.99,0,0,9.99,0,0,9.99,0,9.99
2021-03,Online Store,Beaver,Pennsylvania,United States,First-time,5-Bag Variety Pack,,1,44.95,0,0,44.95,0,2.7,47.65,0,47.65
2021-03,Online Store,Diamond Bar,California,United States,First-time,,,0,0,0,0,0,7.75,0,7.75,0,0
2021-03,Online Store,Orange Park,Florida,United States,First-time,,,0,0,0,0,0,3.85,0,3.85,0,0
2021-03,Online Store,Astoria,New York,United States,First-time,,,0,0,0,0,0,5.38,0,5.38,0,0
2021-03,Online Store,Houston,Texas,United States,First-time,Sweet Heat,,3,35.96,0,0,35.96,0,0,35.96,0,11.986
2021-03,Online Store,Leland,North Carolina,United States,First-time,All Flavors Variety Pack,,1,93.9,0,0,93.9,0,0,93.9,0,93.9
2021-03,Online Store,San Diego,California,United States,First-time,All Flavors Variety Pack,,1,93.9,0,0,93.9,0,0,93.9,0,93.9
2021-03,Online Store,South Easton,Massachusetts,United States,First-time,Traditional Japanese Teriyaki,,1,26.97,-5.66,0,21.31,0,0,21.31,0,21.31
2021-03,Online Store,Poway,California,United States,First-time,,,0,0,0,0,0,7.4,0,7.4,0,0
2021-03,Online Store,Harrison Township,Michigan,United States,First-time,Slap Yo' Grandma Spicy,,1,8.99,0,0,8.99,0,0,8.99,0,8.99
2021-03,Online Store,Pasadena,California,United States,First-time,Black Truffle,,1,8.99,0,0,8.99,0,0,8.99,0,8.99
2021-03,Online Store,New Orleans,Louisiana,United States,First-time,Original,,1,17.98,0,0,17.98,0,0,17.98,0,17.98
2021-03,Online Store,Sparks,Nevada,United States,First-time,Gourmet Keto Variety Pack,,1,79.92,0,0,79.92,0,0,79.92,0,79.92
